morada1;morada2;coeficiente Atrito
MAR Shopping Matosinhos;Centro Comercial New City;0.5
MAR Shopping Matosinhos;Centro comercial parque;0.5
MAR Shopping Matosinhos;Farmacia Guifoes;0.5
MAR Shopping Matosinhos;Centro Comercial Plaza;0.5
MAR Shopping Matosinhos;NorteShopping;0.5
MAR Shopping Matosinhos;Pereiro Post Office;0.5
MAR Shopping Matosinhos;Farmacia Sousa Torres;0.5
MAR Shopping Matosinhos;Farmacia Avenida;0.5
MAR Shopping Matosinhos;Centro Comercial do Carvalhido;0.5
MAR Shopping Matosinhos;CTT;0.5
MAR Shopping Matosinhos;Posto Correios Forno;0.5
MAR Shopping Matosinhos;Centro de Distribuicao dos Correios de Ermesinde;0.5
MAR Shopping Matosinhos;ArrabidaShopping;0.5
MAR Shopping Matosinhos;Correios CTT Campo Alegre;0.5
MAR Shopping Matosinhos;Shopping Brasilia - Associacao Comerciantes;0.5
MAR Shopping Matosinhos;Farmacia sa;0.5
MAR Shopping Matosinhos;Posto de Correios de Conde Ferreira;0.5
MAR Shopping Matosinhos;Farmacia Marques da Cunha;0.5
MAR Shopping Matosinhos;Centro Comercial de Cedofeita;0.5
MAR Shopping Matosinhos;Alameda Shop Spot;0.5
MAR Shopping Matosinhos;Post Office Valongo;0.5
MAR Shopping Matosinhos;Shop;0.5
MAR Shopping Matosinhos;Farmacia Sa da Bandeira;0.5
MAR Shopping Matosinhos;Traditional Shopping Street;0.5
MAR Shopping Matosinhos;Espiral Colossal;0.5
MAR Shopping Matosinhos;Centro Comercial Stop;0.5
MAR Shopping Matosinhos;Praceta Salvador Caetano;0.5
MAR Shopping Matosinhos;Farmacia Couto;0.5
MAR Shopping Matosinhos;FISHISCO Pesca;0.5
MAR Shopping Matosinhos;Tecofix Porto;0.5
MAR Shopping Matosinhos;Farmacia de Fanzeres;0.5
MAR Shopping Matosinhos;Farmacia Central Valongo;0.5
Centro Comercial New City;MAR Shopping Matosinhos;0.5
Centro Comercial New City;Centro comercial parque;0.5
Centro Comercial New City;Farmacia Guifoes;0.5
Centro Comercial New City;Centro Comercial Plaza;0.5
Centro Comercial New City;NorteShopping;0.5
Centro Comercial New City;Pereiro Post Office;0.5
Centro Comercial New City;Farmacia Sousa Torres;0.5
Centro Comercial New City;Farmacia Avenida;0.5
Centro Comercial New City;Centro Comercial do Carvalhido;0.5
Centro Comercial New City;CTT;0.5
Centro Comercial New City;Posto Correios Forno;0.5
Centro Comercial New City;Centro de Distribuicao dos Correios de Ermesinde;0.5
Centro Comercial New City;ArrabidaShopping;0.5
Centro Comercial New City;Correios CTT Campo Alegre;0.5
Centro Comercial New City;Shopping Brasilia - Associacao Comerciantes;0.5
Centro Comercial New City;Farmacia sa;0.5
Centro Comercial New City;Posto de Correios de Conde Ferreira;0.5
Centro Comercial New City;Farmacia Marques da Cunha;0.5
Centro Comercial New City;Centro Comercial de Cedofeita;0.5
Centro Comercial New City;Alameda Shop Spot;0.5
Centro Comercial New City;Post Office Valongo;0.5
Centro Comercial New City;Shop;0.5
Centro Comercial New City;Farmacia Sa da Bandeira;0.5
Centro Comercial New City;Traditional Shopping Street;0.5
Centro Comercial New City;Espiral Colossal;0.5
Centro Comercial New City;Centro Comercial Stop;0.5
Centro Comercial New City;Praceta Salvador Caetano;0.5
Centro Comercial New City;Farmacia Couto;0.5
Centro Comercial New City;FISHISCO Pesca;0.5
Centro Comercial New City;Tecofix Porto;0.5
Centro Comercial New City;Farmacia de Fanzeres;0.5
Centro Comercial New City;Farmacia Central Valongo;0.5
Centro comercial parque;MAR Shopping Matosinhos;0.5
