morada;latitude;longitude;altitude
MAR Shopping Matosinhos;41.209052507815244;-8.687287086708245;42
Centro Comercial New City;41.182363628707456;-8.692294402052777;9
Centro comercial parque;41.18462397702034;-8.68211220205267;26
Farmacia Guifoes;41.2000760144597;-8.666100202052215;71
Centro Comercial Plaza;41.23340661610906;-8.621535302051184;101
NorteShopping;41.18084867888261;-8.654576302052822;76
Pereiro Post Office;41.17249147928438;-8.654926373217164;72
Farmacia Sousa Torres;41.219731359695324;-8.560865702051606;82
Farmacia Avenida;41.16051393409644;-8.6437290020534;64
Centro Comercial do Carvalhido;41.16779113230192;-8.630172602053205;93
CTT;41.171472631394025;-8.612856802053123;110
Posto Correios Forno;41.19262907307092;-8.575904230888346;140
Centro de Distribuicao dos Correios de Ermesinde;41.202635495918976;-8.54497793088807;135
ArrabidaShopping;41.14147055903884;-8.636453502054039;75
Correios CTT Campo Alegre;41.152763857646484;-8.63105360205371;75
Shopping Brasilia - Associacao Comerciantes;41.15756277928595;-8.627837002053548;84
Farmacia sa;41.16704810908665;-8.61184413088914;125
Posto de Correios de Conde Ferreira;41.17120183146073;-8.588192230889032;142
Farmacia Marques da Cunha;41.19764197928214;-8.49959703088823;149
Centro Comercial de Cedofeita;41.154558057425085;-8.619157930889543;85
Alameda Shop Spot;41.16375523329717;-8.584184302053327;122
Post Office Valongo;41.190016800589035;-8.497586402052518;138
Shop;41.14796023719179;-8.615831802053826;86
Farmacia Sa da Bandeira;41.14835087928681;-8.60798820205382;75
Traditional Shopping Street;41.15347747928632;-8.604759930889546;109
Espiral Colossal;41.14367463824815;-8.60339243088989;76
Centro Comercial Stop;41.14600667928706;-8.594940030889799;92
Praceta Salvador Caetano;41.1330929600718;-8.6081726020543;70
Farmacia Couto;41.126030442596715;-8.605945502054498;98
FISHISCO Pesca;41.14431389689786;-8.57522170205393;9
Tecofix Porto;41.153952035714354;-8.547053530889555;84
Farmacia de Fanzeres;41.161132901957934;-8.531416030889346;89
Farmacia Central Valongo;41.18995620061146;-8.497885730888445;138
